task,method,round,seed,demo_count,candidate_rollouts,accepted_rollouts,rejected_rollouts,total_reject_rate,acceptance_rate,collision_reject_rate,workspace_reject_rate,articulation_reject_rate,visibility_reject_rate,smoothness_reject_rate,coverage_index,train_examples,success_trials,total_trials,incremental_success_rate,ci95_low,ci95_high,action_smoothness,execution_steps,p_vs_sparse_round0
Pick-place,Sparse-only,0,0,22,0,0,0,0,0,0,0,0,0,0,0.2851,4400,17,20,85,64,94.8,0.6258,208.7,—
Pick-place,Sparse-only,0,1,22,0,0,0,0,0,0,0,0,0,0,0.2906,4400,17,20,85,64,94.8,0.6249,207.6,—
Pick-place,Sparse-only,0,2,22,0,0,0,0,0,0,0,0,0,0,0.3027,4400,16,20,80,58.4,91.9,0.6314,210.8,—
Pick-place,Sparse-only,0,3,22,0,0,0,0,0,0,0,0,0,0,0.3151,4400,16,20,80,58.4,91.9,0.6305,200.5,—
Pick-place,Sparse-only,0,4,22,0,0,0,0,0,0,0,0,0,0,0.3069,4400,18,20,90,69.9,97.2,0.6402,216,—
Pick-place,Sparse-only,1,0,22,0,0,0,0,0,0,0,0,0,0,0.3146,4400,17,20,85,64,94.8,0.6549,192.7,p=0.911
Pick-place,Sparse-only,1,1,22,0,0,0,0,0,0,0,0,0,0,0.297,4400,17,20,85,64,94.8,0.6496,202.3,p=0.911
Pick-place,Sparse-only,1,2,22,0,0,0,0,0,0,0,0,0,0,0.2854,4400,17,20,85,64,94.8,0.648,204.1,p=0.911
Pick-place,Sparse-only,1,3,22,0,0,0,0,0,0,0,0,0,0,0.2953,4400,16,20,80,58.4,91.9,0.6422,193.3,p=0.661
Pick-place,Sparse-only,1,4,22,0,0,0,0,0,0,0,0,0,0,0.3055,4400,15,20,75,53.1,88.8,0.6311,212.1,p=0.334
Pick-place,Sparse-only,2,0,22,0,0,0,0,0,0,0,0,0,0,0.2788,4400,16,20,80,58.4,91.9,0.6201,204.9,p=0.661
Pick-place,Sparse-only,2,1,22,0,0,0,0,0,0,0,0,0,0,0.3064,4400,17,20,85,64,94.8,0.6375,198.4,p=0.911
Pick-place,Sparse-only,2,2,22,0,0,0,0,0,0,0,0,0,0,0.2894,4400,17,20,85,64,94.8,0.6275,208.2,p=0.911
Pick-place,Sparse-only,2,3,22,0,0,0,0,0,0,0,0,0,0,0.2674,4400,17,20,85,64,94.8,0.623,203.9,p=0.911
