task,method,round,seed_count,candidate_rollouts,accepted_rollouts,acceptance_rate_pct,rejected_rollouts,total_rejection_rate_pct,success_trials,total_trials,incremental_success_rate_pct,ci95,coverage_index_mean,action_smoothness_mean
Pick-place,Ours,0,5,600,468,78.0,132,22.0,85,100,85,"[76.7,90.7]",0.453,0.646
Pick-place,Ours,1,5,640,534,83.4,106,16.6,88,100,88,"[80.2,93.0]",0.583,0.578
Pick-place,Ours,2,5,680,606,89.1,74,10.9,90,100,90,"[82.6,94.5]",0.682,0.544
Pick-place,Ours,3,5,720,671,93.2,49,6.8,90,100,90,"[82.6,94.5]",0.744,0.523
Pick-place,Ours,4,5,760,706,92.9,54,7.1,91,100,91,"[83.8,95.2]",0.778,0.498
Pick-place,Ours,5,5,800,751,93.9,49,6.1,90,100,90,"[82.6,94.5]",0.809,0.495
Pick-place,Ours,6,5,840,802,95.5,38,4.5,92,100,92,"[85.0,95.9]",0.815,0.504
Pick-place,Random-Aug,0,5,600,215,35.8,385,64.2,81,100,81,"[72.2,87.5]",0.346,0.633
Pick-place,Random-Aug,1,5,640,259,40.5,381,59.5,84,100,84,"[75.6,89.9]",0.413,0.629
Pick-place,Random-Aug,2,5,680,285,41.9,395,58.1,84,100,84,"[75.6,89.9]",0.428,0.62
Pick-place,Random-Aug,3,5,720,316,43.9,404,56.1,83,100,83,"[74.5,89.1]",0.448,0.625
Pick-place,Random-Aug,4,5,760,335,44.1,425,55.9,83,100,83,"[74.5,89.1]",0.469,0.631
Pick-place,Random-Aug,5,5,800,357,44.6,443,55.4,85,100,85,"[76.7,90.7]",0.507,0.62
Pick-place,Random-Aug,6,5,840,406,48.3,434,51.7,85,100,85,"[76.7,90.7]",0.495,0.612
Pick-place,Scene-Aug w/o structure,0,5,600,405,67.5,195,32.5,85,100,85,"[76.7,90.7]",0.393,0.638
Pick-place,Scene-Aug w/o structure,1,5,640,439,68.6,201,31.4,84,100,84,"[75.6,89.9]",0.466,0.615
Pick-place,Scene-Aug w/o structure,2,5,680,473,69.6,207,30.4,84,100,84,"[75.6,89.9]",0.506,0.601
Pick-place,Scene-Aug w/o structure,3,5,720,502,69.7,218,30.3,88,100,88,"[80.2,93.0]",0.574,0.585
Pick-place,Scene-Aug w/o structure,4,5,760,549,72.2,211,27.8,88,100,88,"[80.2,93.0]",0.605,0.585
Pick-place,Scene-Aug w/o structure,5,5,800,594,74.2,206,25.8,87,100,87,"[79.0,92.2]",0.624,0.582
Pick-place,Scene-Aug w/o structure,6,5,840,623,74.2,217,25.8,88,100,88,"[80.2,93.0]",0.624,0.576
Pick-place,Sparse-only,0,5,0,0,—,0,—,84,100,84,"[75.6,89.9]",0.3,0.631
Pick-place,Sparse-only,1,5,0,0,—,0,—,82,100,82,"[73.3,88.3]",0.3,0.645
Pick-place,Sparse-only,2,5,0,0,—,0,—,83,100,83,"[74.5,89.1]",0.287,0.626
Pick-place,Sparse-only,3,5,0,0,—,0,—,85,100,85,"[76.7,90.7]",0.293,0.624
Pick-place,Sparse-only,4,5,0,0,—,0,—,84,100,84,"[75.6,89.9]",0.298,0.63
Pick-place,Sparse-only,5,5,0,0,—,0,—,85,100,85,"[76.7,90.7]",0.287,0.618
Pick-place,Sparse-only,6,5,0,0,—,0,—,84,100,84,"[75.6,89.9]",0.307,0.616
Microwave door,Ours,0,5,600,476,79.3,124,20.7,70,100,70,"[60.4,78.1]",0.449,0.641
Microwave door,Ours,1,5,640,536,83.8,104,16.2,76,100,76,"[66.8,83.3]",0.584,0.577
Microwave door,Ours,2,5,680,586,86.2,94,13.8,80,100,80,"[71.1,86.7]",0.691,0.539
Microwave door,Ours,3,5,720,645,89.6,75,10.4,82,100,82,"[73.3,88.3]",0.739,0.506
Microwave door,Ours,4,5,760,710,93.4,50,6.6,85,100,85,"[76.7,90.7]",0.777,0.5
Microwave door,Ours,5,5,800,763,95.4,37,4.6,86,100,86,"[77.9,91.5]",0.812,0.491
Microwave door,Ours,6,5,840,806,96.0,34,4.0,86,100,86,"[77.9,91.5]",0.813,0.488
Microwave door,Random-Aug,0,5,600,217,36.2,383,63.8,70,100,70,"[60.4,78.1]",0.34,0.627
Microwave door,Random-Aug,1,5,640,260,40.6,380,59.4,69,100,69,"[59.4,77.2]",0.409,0.636
Microwave door,Random-Aug,2,5,680,290,42.6,390,57.4,70,100,70,"[60.4,78.1]",0.431,0.636
Microwave door,Random-Aug,3,5,720,320,44.4,400,55.6,70,100,70,"[60.4,78.1]",0.463,0.626
Microwave door,Random-Aug,4,5,760,326,42.9,434,57.1,69,100,69,"[59.4,77.2]",0.486,0.628
Microwave door,Random-Aug,5,5,800,372,46.5,428,53.5,68,100,68,"[58.3,76.3]",0.485,0.625
Microwave door,Random-Aug,6,5,840,408,48.6,432,51.4,69,100,69,"[59.4,77.2]",0.489,0.616
Microwave door,Scene-Aug w/o structure,0,5,600,374,62.3,226,37.7,70,100,70,"[60.4,78.1]",0.366,0.629
Microwave door,Scene-Aug w/o structure,1,5,640,425,66.4,215,33.6,73,100,73,"[63.6,80.7]",0.472,0.618
Microwave door,Scene-Aug w/o structure,2,5,680,483,71.0,197,29.0,75,100,75,"[65.7,82.5]",0.527,0.591
Microwave door,Scene-Aug w/o structure,3,5,720,510,70.8,210,29.2,75,100,75,"[65.7,82.5]",0.582,0.584
Microwave door,Scene-Aug w/o structure,4,5,760,541,71.2,219,28.8,78,100,78,"[68.9,85.0]",0.6,0.589
Microwave door,Scene-Aug w/o structure,5,5,800,578,72.2,222,27.8,77,100,77,"[67.8,84.2]",0.62,0.582
Microwave door,Scene-Aug w/o structure,6,5,840,611,72.7,229,27.3,78,100,78,"[68.9,85.0]",0.639,0.582
Microwave door,Sparse-only,0,5,0,0,—,0,—,70,100,70,"[60.4,78.1]",0.311,0.654
Microwave door,Sparse-only,1,5,0,0,—,0,—,71,100,71,"[61.5,79.0]",0.311,0.625
Microwave door,Sparse-only,2,5,0,0,—,0,—,70,100,70,"[60.4,78.1]",0.308,0.616
Microwave door,Sparse-only,3,5,0,0,—,0,—,72,100,72,"[62.5,79.9]",0.297,0.629
Microwave door,Sparse-only,4,5,0,0,—,0,—,72,100,72,"[62.5,79.9]",0.291,0.617
Microwave door,Sparse-only,5,5,0,0,—,0,—,71,100,71,"[61.5,79.0]",0.306,0.626
Microwave door,Sparse-only,6,5,0,0,—,0,—,72,100,72,"[62.5,79.9]",0.3,0.619
Multi-step retrieval,Ours,0,5,600,467,77.8,133,22.2,69,100,69,"[59.4,77.2]",0.444,0.644
