task,method,demo_count,seed,trial_id,success,failure_type
拾取放置,Ours,22,0,拾取放置_001,1,None
拾取放置,Ours,22,1,拾取放置_002,1,None
拾取放置,Ours,22,2,拾取放置_003,1,None
拾取放置,Ours,22,3,拾取放置_004,1,None
拾取放置,Ours,22,4,拾取放置_005,1,None
拾取放置,Ours,22,0,拾取放置_006,0,Contact
拾取放置,Ours,22,1,拾取放置_007,1,None
拾取放置,Ours,22,2,拾取放置_008,1,None
拾取放置,Ours,22,3,拾取放置_009,1,None
拾取放置,Ours,22,4,拾取放置_010,1,None
拾取放置,Ours,22,0,拾取放置_011,1,None
拾取放置,Ours,22,1,拾取放置_012,1,None
拾取放置,Ours,22,2,拾取放置_013,1,None
拾取放置,Ours,22,3,拾取放置_014,0,Contact
拾取放置,Ours,22,4,拾取放置_015,1,None
拾取放置,Ours,22,0,拾取放置_016,1,None
拾取放置,Ours,22,1,拾取放置_017,1,None
拾取放置,Ours,22,2,拾取放置_018,1,None
拾取放置,Ours,22,3,拾取放置_019,1,None
拾取放置,Ours,22,4,拾取放置_020,0,Reachability
拾取放置,Ours,22,0,拾取放置_021,1,None
拾取放置,Ours,22,1,拾取放置_022,0,Contact
拾取放置,Ours,22,2,拾取放置_023,1,None
拾取放置,Ours,22,3,拾取放置_024,1,None
拾取放置,Ours,22,4,拾取放置_025,1,None
拾取放置,Ours,22,0,拾取放置_026,1,None
拾取放置,Ours,22,1,拾取放置_027,1,None
拾取放置,Ours,22,2,拾取放置_028,1,None
拾取放置,Ours,22,3,拾取放置_029,1,None
拾取放置,Ours,22,4,拾取放置_030,1,None
拾取放置,Ours,22,0,拾取放置_031,1,None
拾取放置,Ours,22,1,拾取放置_032,1,None
拾取放置,Ours,22,2,拾取放置_033,1,None
拾取放置,Ours,22,3,拾取放置_034,1,None
拾取放置,Ours,22,4,拾取放置_035,1,None
拾取放置,Ours,22,0,拾取放置_036,1,None
拾取放置,Ours,22,1,拾取放置_037,1,None
拾取放置,Ours,22,2,拾取放置_038,0,Perception
拾取放置,Ours,22,3,拾取放置_039,1,None
拾取放置,Ours,22,4,拾取放置_040,0,Perception
拾取放置,Ours,22,0,拾取放置_041,1,None
拾取放置,Ours,22,1,拾取放置_042,1,None
拾取放置,Ours,22,2,拾取放置_043,1,None
拾取放置,Ours,22,3,拾取放置_044,1,None
拾取放置,Ours,22,4,拾取放置_045,1,None
拾取放置,Ours,22,0,拾取放置_046,1,None
拾取放置,Ours,22,1,拾取放置_047,0,Reachability
拾取放置,Ours,22,2,拾取放置_048,1,None
拾取放置,Ours,22,3,拾取放置_049,1,None
拾取放置,Ours,22,4,拾取放置_050,1,None
拾取放置,Ours,22,0,拾取放置_051,1,None
拾取放置,Ours,22,1,拾取放置_052,1,None
拾取放置,Ours,22,2,拾取放置_053,1,None
拾取放置,Ours,22,3,拾取放置_054,1,None
拾取放置,Ours,22,4,拾取放置_055,1,None
拾取放置,Ours,22,0,拾取放置_056,1,None
拾取放置,Ours,22,1,拾取放置_057,1,None
拾取放置,Ours,22,2,拾取放置_058,1,None
拾取放置,Ours,22,3,拾取放置_059,1,None
拾取放置,Ours,22,4,拾取放置_060,1,None
开箱/开柜,Ours,24,0,开箱_开柜_001,1,None
开箱/开柜,Ours,24,1,开箱_开柜_002,1,None
开箱/开柜,Ours,24,2,开箱_开柜_003,1,None
开箱/开柜,Ours,24,3,开箱_开柜_004,0,Contact
开箱/开柜,Ours,24,4,开箱_开柜_005,1,None
开箱/开柜,Ours,24,0,开箱_开柜_006,1,None
开箱/开柜,Ours,24,1,开箱_开柜_007,1,None
开箱/开柜,Ours,24,2,开箱_开柜_008,1,None
开箱/开柜,Ours,24,3,开箱_开柜_009,1,None
开箱/开柜,Ours,24,4,开箱_开柜_010,1,None
开箱/开柜,Ours,24,0,开箱_开柜_011,1,None
开箱/开柜,Ours,24,1,开箱_开柜_012,1,None
开箱/开柜,Ours,24,2,开箱_开柜_013,1,None
开箱/开柜,Ours,24,3,开箱_开柜_014,1,None
开箱/开柜,Ours,24,4,开箱_开柜_015,1,None
开箱/开柜,Ours,24,0,开箱_开柜_016,1,None
开箱/开柜,Ours,24,1,开箱_开柜_017,1,None
开箱/开柜,Ours,24,2,开箱_开柜_018,1,None
开箱/开柜,Ours,24,3,开箱_开柜_019,1,None
开箱/开柜,Ours,24,4,开箱_开柜_020,1,None
开箱/开柜,Ours,24,0,开箱_开柜_021,1,None
开箱/开柜,Ours,24,1,开箱_开柜_022,0,Perception
开箱/开柜,Ours,24,2,开箱_开柜_023,1,None
开箱/开柜,Ours,24,3,开箱_开柜_024,1,None
开箱/开柜,Ours,24,4,开箱_开柜_025,1,None
开箱/开柜,Ours,24,0,开箱_开柜_026,0,Contact
开箱/开柜,Ours,24,1,开箱_开柜_027,1,None
开箱/开柜,Ours,24,2,开箱_开柜_028,1,None
开箱/开柜,Ours,24,3,开箱_开柜_029,1,None
开箱/开柜,Ours,24,4,开箱_开柜_030,1,None
开箱/开柜,Ours,24,0,开箱_开柜_031,1,None
开箱/开柜,Ours,24,1,开箱_开柜_032,1,None
开箱/开柜,Ours,24,2,开箱_开柜_033,1,None
开箱/开柜,Ours,24,3,开箱_开柜_034,1,None
开箱/开柜,Ours,24,4,开箱_开柜_035,1,None
开箱/开柜,Ours,24,0,开箱_开柜_036,1,None
开箱/开柜,Ours,24,1,开箱_开柜_037,1,None
开箱/开柜,Ours,24,2,开箱_开柜_038,0,Contact
开箱/开柜,Ours,24,3,开箱_开柜_039,1,None
开箱/开柜,Ours,24,4,开箱_开柜_040,1,None
开箱/开柜,Ours,24,0,开箱_开柜_041,1,None
开箱/开柜,Ours,24,1,开箱_开柜_042,0,Temporal inconsistency
开箱/开柜,Ours,24,2,开箱_开柜_043,1,None
开箱/开柜,Ours,24,3,开箱_开柜_044,1,None
